MONTH,PM25_2022,PM25_2023,PM25_2024
1,,29.364516129032257,49.167741935483875
2,,17.81304347826087,44.077777777777776
3,36.21923076923077,39.9741935483871,92.74838709677418
4,34.65384615384615,62.96,93.00666666666666
5,35.042857142857144,60.20322580645161,93.1516129032258
6,18.17,38.16206896551724,34.53666666666666
7,11.100000000000001,12.48709677419355,12.02258064516129
8,21.233333333333334,15.129032258064516,11.264516129032257
9,29.65,13.486666666666668,28.553333333333335
10,26.287096774193547,11.748387096774193,20.538709677419355
11,20.223333333333336,15.563333333333333,15.356666666666666
12,22.383870967741935,42.9483870967742,9.348387096774195
